식물 이름,사진,학명,설명,물주기,빛,습도,잘 자라는 온도,"겨울철 관리 온도
",특징 색상,식물 유형,가시 유무,잎 모양1,잎 모양2,잎 모양3,잎 모양4,식물경험,"반려식물
안전성",유통 크기,난이도,유통가격,,,,,,,
오색 마삭줄 (초설 마삭줄),그림,Trachelospermum asiaticum 'Hatuyukikazura',"오색 마삭줄은 흰색, 핑크색, 붉은색, 초록색, 연두색의 다양한 색상을 갖고 있어 오색 마삭줄, 초설 마삭줄이라 불리고 있어요. 햇빛이 많은 곳일 수록 잎의 색상이 예쁘게 나와요. 가을엔 빨갛게 물도 든답니다. 봄, 여름에는 향기로운 흰색 꽃도 피운답니다. 덩굴성 식물이라 크게 자라기 보다는 아래로 늘어지며 자라는 라인감이 뛰어난 식물이에요. 더위에도 추위에도 강한 편이지만 실내에서 키우신다면 주변 공기를 촉촉하게 관리해주시면 더 건강하게 키울 수 있습니다.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,16~20℃,0℃ 이상,오색,잎을 감상하는,,둥근모양,무늬가 있는,잎 끝이 뾰족한,잎이 빳빳한,,,소형,하,3천원~5천원,,,,,,,
아이비 (헤데라),그림,Hedera helix,아이비는 빛이 적은 곳에서도 잘 자라 실내 어느 공간에서도 아주 잘 자라고 건조에도 강한 편이라 초보 가드너도 쉽게 키울 수 있어요. 전세계적으로 많은 품종이 개발되어 있는 아이비는 잎 모양과 색이 다양해요. 덩굴성의 유연한 줄기를 가지고 있어 아름다운 수형으로 가꾸기 좋은 식물이에요. 또한 성장속도가 빨라 자라는 것만 봐도 뿌듯함을 느낄 수 있답니다. 하지만 독성이 있어 반려동물과 어린아이가 있다면 섭취하지 않도록 주의해주세요.,"평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",음지,40~70%,16~20℃,5℃ 이상,녹색,잎을 감상하는,,별모양,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,"소, 중형",하,"소: 8천원~1만원
중: 1만2천원~1만5천원",,,,,,,
아스파라거스 나누스,그림,Asparagus setaceus,"아스파라거스 나누스는 솜털같은 잎과 덩굴성의 줄기를 가지고 있어 우아한 느낌을 자아낸답니다. 아스파라거스 나누스는 식용 아스파라거스와 다른 식물이니, 절대 섭취하시면 안 돼요. '아스파라거스 펀'이라고도 불리우는 아스파라거스는 고사리과가 아닌 백합과 식물이에요. 따라서 고양이, 강아지가 섭취하지 않도록 주의해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,15~25℃,7.5℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,초보자,주의 필요,"소, 중형",하,"소: 3천원~6천원
중: 1만5천원~2만원",,,,,,,
아비스,그림,Asplenium nidus 'avis',"주로 열대 지방에 넓게 분포하고 있는 아비스는 새 순이 나오는 중심부가 새 둥지를 닮아 'Bird's nest fern(새둥지 고사리)'이라고 불린답니다. 제주도에 자생하고 있는 멸종위기 식물 '파초일엽(Asplenium antiquum)과 외형적으로 아주 비슷하답니다. 아비스는 주로 습기가 많고 그늘진 나무나 바위 위에 붙어서 사는 착생 양치식물로, 아기가 주먹을 꼭 쥔 것 같이 꽉 말려있던 새 순이 빛을 받기위해 조금씩 펴지는 모습을 관찰하는 재미가 있는 식물이랍니다.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지,70% 이상,21~25℃,10℃ 이상,녹색,잎을 감상하는,,길쭉한,갈라진,잎이 두꺼운,잎이 빳빳한,,안전,"소, 중형",하,"소: 3천원~7천원
중: 1만원~1만5천원",,,,,,,
아라우카리아,그림,Araucaria heterophylla,"노포크섬의 소나무라고 불리는 아라우카리아는 실제로는 소나무가 아니에요. 부드러운 잎을 가졌으며 원산지에서 60m 이상 자라나는 큰 나무에요. 우리나라에서는 주로 실내에서 키우기 때문에 1~3m까지 자라요. 원추형 수형의 아라우카리아는 크리스마스 트리로도 많이 사용돼요. 다른 침엽수에 비해서 추위에 약한 편이기 때문에, 겨울에는 베란다 또는 실내의 따뜻한 곳에서 키우는 것이 좋아요. 또한 공기정화능력이 우수하고 재배가 쉬워 실내식물로 기르기에 적합한 식물입니다. 반음지나 반양지에서 잘 자라며 직접적으로 빛을 받으면 잎이 누렇게 타므로 직접적인 강한 빛은 피해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,20~25℃,5℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,초보자,,"소, 중형",중,"소: 1만원~2만원
중: 2만5천원~4만원",,,,,,,
스파티필름,그림,Spathiphyllum wallisii,"스파티필름은 공기 정화 능력이 매우 뛰어난 식물이에요. 게다가 빛이 많이 들지 않는 환경에서도 잘 견디고 꽃도 피우기 때문에 초보가드너도 쉽게 키울 수 있는 실내 공기정화 식물이랍니다. 스파티필름(Spathiphyllum)은 ‘포엽(leaf spathe)’을 뜻하는 말로, 꽃처럼 보이는 하얀 잎이 바로 '포엽'이랍니다. 잎에는 독성이 있어 반려동물이 있는 집에서는 주의해서 키워야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~32℃,13℃ 이상,녹색잎에 하얀 꽃,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,소형,하,3천원~1만원,,,,,,,
핑크 싱고니움 (네온 싱고니움),그림,Syngonium podophyllum 'Neon',"싱고니움의 잎의 모양은 화살촉 모양과 비슷해서 'Arrow Head Plant'라고 불리기도 해요. 반그늘과 따듯한 환경을 좋아하는 거실과 사무실에 두면 좋은 식물이에요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,핑크색,잎을 감상하는,,둥근모양,하트모양,잎 끝이 뾰족한,,초보자,주의 필요,소형,중,4천원~1만원,,,,,,,
싱고니움,그림,Syngonium podophyllum,"싱고니움의 잎의 모양은 화살촉 모양과 비슷해서 'Arrow Head Plant'라고 불리기도 해요. 반그늘과 따듯한 환경을 좋아하는 거실과 사무실에 두면 좋은 식물이에요. 잎을 자르면 나오는 수액에 독성이 있으니 아이가 있는 집이나 반려동물이 있는 집에는 주의해서 키워야 해요. 빛을 향해 잎이 자라는 특징이 있어서 잎이 햇빛을 골고루 받을 수 있게, 화분을 돌려가며 키워주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반음지,40~70%,21~25℃,15℃ 이상,녹색,잎을 감상하는,,하트모양,무늬가 있는,잎 끝이 뾰족한,,초보자,주의 필요,소형,하,3천원~1만원,,,,,,,
스프링 골풀 (스프링 준쿠스),그림,Juncus effusus 'Spiralis',"꼬불꼬불 스프링 모양의 잎이 독특한 스프링 준쿠스는 촉촉한 습지 근처에서 자라는 식물입니다. 물 근처에서 자라는 수변식물이기 때문에 물을 아주 좋아해 흙이 다 마르기 전에 물을 주며 관리해야 하며, 뿌리 근처에 통통한 뿌리 줄기가 있어 너무 좁은 화분에서는 건강하게 성장하지 못한답니다. 반질반질한 줄기를 가지고 있고 잎이 따로 없어 빛이 적은 곳에서도 잘 자라 실내에서 키우기 좋고 독특한 수형으로 많은 사랑을 받는 아이에요. 여름에는 갈색을 띠는 꽃이 줄기 끝에서 핀답니다.","평균 주 2회 이상
흙이 바싹 마르지 않도록 주의해주세요",반양지,40~70%,18~24℃,13℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,,소형,중,7천원~1만5천원,,,,,,,
스투키,그림,Sansevieria cylindrica,"건조하고 따뜻한 아프리카에서 온 스투키는 강한 생명력을 가지고있어 식물을 처음 키우는 초보자들에게 많이 추천하는 식물이에요. 사실 ‘스투키’라는 식물은 우리가 키우는 스투키와는 다른 식물이에요. 국내에서 유통되는 스투키의 대부분은 ‘실린드리카’라는 식물이랍니다. 스투키와 비슷하게 생겼지만 성장 속도가 빨라서 성장 속도가 느린 스투키 대신 유통되고 있어요. 밤에 산소를 내뿜어 침실에 적합한 식물로 인기가 좋지만, 독성이 있어서 반려동물과 어린아이가 먹지 않도록 조심해야 합니다.","평균 월 1회 이하
단단한 몸통이 말랑해지면 주세요",반음지,40~70%,13~27℃,10℃ 이상,진녹색잎에 연두색 무늬가 있는,다육/선인장,X,길쭉한,무늬가 있는,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,"소, 중형",하,"소: 9천원~1만5천원
중: 1만5천원~2만원",,,,,,,
스킨답서스,그림,Epipremnum aureum,"스킨답서스는 덩굴성의 줄기가 길게 늘어지며 자라는 실내에서 키우기 정말 쉬운 식물입니다. 일산화탄소 제거능력이 뛰어난 공기정화 식물이며, 다양한 품종이 무늬가 있는 품종과 없는 품종 등 아주 다양한 종류가 있어요. 하지만 식물에 독성이 있어 아이들과 반려동물이 먹으면 위험하니 섭취하지 않도록 주의해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21~25℃,13℃ 이상,녹색,잎을 감상하는,,둥근모양,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,초보자,주의 필요,소형,하,3천원~8천원,,,,,,,
스노우 스파티필름,그림,Spathiphyllum 'White Stripe',"스노우 스파티필름은 벨벳같은 보들보들한 잎에 하얀 줄무늬가 매력적인 식물입니다. 빛이 많이 들지 않는 환경에서도 잘 견디고 꽃도 피우며 공기 정화 능력도 매우 뛰어난 팔방미인이랍니다. 반면, 잎에 독성이 있어 아이가 있는 집이나 반려동물이 있는 집에서는 주의해서 키워야 해요. 수돗물의 염소성분에 예민하기때문에 수돗물을 바로 사용하면 잎에 갈색 반점이 생기거나 잎 끝이 갈색으로 타들어갈 수 있어요. 정수된 물을 사용하시거나 수돗물을 하루 정도 받아두었다가 사용해주세요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,18~32℃,13℃ 이상,녹색잎에 하얀 줄무늬,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,,주의 필요,소형,상,1만원~1만5천원,,,,,,,
수채화 고무나무,그림,Ficus elastica 'Tineke’,"수채화 고무나무는 인도고무나무의 한 품종이에요. 따뜻한 온도와 밝은 빛 조건만 맞춰준다면 쉽게 키울 수 있는 식물이에요. 다만, 온도 변화에 예민한 편이기 때문에 차가운 바람이 드나드는 곳과 온도변화가 심한 창가는 피해 놓아주시고 잎에 먼지가 앉지 않도록 자주 닦아주어 더 많은 빛을 받아 양분을 만들 수 있도록 해주세요. 수액에는 독성이 있으니 어린아이와 반려동물이 섭취하지 않도록 주의해야 해요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",반양지,40~70%,21-25°C,13℃ 이상,녹색잎에 수채화 무늬가 있는,잎을 감상하는,,둥근모양,길쭉한,무늬가 있는,잎 끝이 뾰족한,초보자,주의 필요,"소, 중형",상,"소: 6천원~1만2천원
중: 3만5천원~7만원",,,,,,,
소철,그림,Cycas revoluta,"소철은 공기 정화 능력이 아주 뛰어난 식물이에요. 소철의 이름은 식물의 힘이 없을 때, 철분을 주면 생기를 찾는다는 특성에서 유래되었다고해요. 줄기가 없이 중심부에서 곧게 뻗은 잎은 이국적인 분위기를 자아내요. 성장이 아주 느린 편에 속해 일년에 한 번씩 잎이 새로 나고, 암수 그루가 따로 있어 성별마다 다른 꽃이 피어요. 암그루의 중심부에는 열매가 달리지만 열매에는 독성이 있어 섭취하시면 안 돼요.","평균 월 1~2회
화분 속 흙이 다 마르면 듬뿍 주세요",반양지,40~70%,21-25°C,5℃ 이상,녹색,잎을 감상하는,,바늘모양,길쭉한,갈라진,잎 끝이 뾰족한,,주의 필요,"소, 중형",중,"소: 1만원~2만원
중: 1만5천원~4만원",,,,,,,
피쉬본 선인장 (생선뼈 선인장),그림,Selenicereus anthonyanus,공작선인장 종류의 생선뼈선인장은 수집가들로 부터 많은 인기를 가지고 있어요. 가시가 없고 공중 뿌리가 줄기를 따라 자라나 마치 생선뼈를 닮아 생선뼈 선인장이라고 불리운답니다. 선인장 종류 중 성장이 빠른편이고 물을 좋아하는 편이에요. 충분한 햇빛을 받고 성장하는 여름을 거쳐 기온이 떨어지는 가을에는 꽃이 피어요. 꽃이 피고 난 뒤 맺는 열매는 새콤하고 부드러운 과일푸딩의 맛이 난답니다.,"평균 월 1~2회
통통한 몸통이 얇아지면 듬뿍 주세요",반양지,40~70%,16~20℃,13℃ 이상,녹색,다육/선인장,X,,,,,초보자,안전,소형,하,3천원~5천원,,,,,,,
산세베리아 문샤인,그림,Sansevieria trifasciata 'Moonshine',"아프리카에서온 산세베리아 문샤인은 산세베리아의 품종 중 하나의 종류에요. 이불을 감싼 듯이 잎이 겹처있고, 일반 산세베리아와 다르게 잎에 무늬가 없어요. 은은한 은색 빛을 띄는 색상을 지니고 있어요. 건조한 지역에서 온 다육식물문샤인은 다육질이기에 절대 물을 자주 주시면 안되요. 차갑고 습기가 많은 흙에서는 쉽게 부패하기 때문에 물을 자주 주지 않는게 포인트랍니다","평균 월 1회 이하
빳빳한 잎이 조글쪼글해지면 주세요",반양지,40~70%,21~25℃,10℃ 이상,은빛이 도는 녹색,다육/선인장,X,길쭉한,잎 끝이 뾰족한,잎이 두꺼운,,초보자,,소형,하,5천원~8천원,,,,,,,
비단 삼나무 (블루버드),그림,chamaecyparis pisifera 'boulevard',"은청색 잎과 그 향기가 싱그러운 비단삼나무는 미세먼지를 흡착하는 능력이 뛰어나고 피톤치드를 가득 품고 있어 많은 이들의 사랑을 받는 식물이에요. 은청색의 잎이 보드랍고 새의 깃털을 닮아 '블루버드'라고 유통이 된다고 많이들 생각하실텐데, 사실은 '큰 가로수길'을 의미하는 프랑스어 'Boulavard' 에서 유래되었답니다. 비단삼나무는 밝은 빛을 받을 수 있는 공간에서 통풍에만 신경써 주신다면 초보가드너 분들도 잘 키우실 수 있어요.","평균 주 1~2회
흙 표면부터 3cm까지 마르면, 듬뿍 주세요",양지,40~70%,16~20℃,5℃ 이상,은빛이 도는 녹색,잎을 감상하는,,바늘모양,길쭉한,,,초보자,,소형,하,7천원~1만5천원,,,,,,,
블루스타 고사리,그림,Phlebodium aureum,"아름답게 빛나는 은청색 잎을 가진 블루스타 고사리는 보는 각도마다 다른 빛깔을 뿜어내어 신비로운 느낌을 주는 식물이에요. 길게 뻗은 줄기 아래에는 금빛 털이 송송난 하얀색 근경(뿌리줄기)이 있는데, 이 생김새 때문에 '황금 발 고사리' 라고도 불리운답니다. 열대 우림에서 키 큰 나무에 붙어 사는 착생 식물이기 때문에 빛이 적은 실내에서도 잘 키울 수 있어요. 게다가 독성도 없어서 반려 동물과 어린 아이에게도 안전해요.","평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반음지,70% 이상,15~25℃,10℃ 이상,은빛이 도는 녹색,잎을 감상하는,,길쭉한,갈라진,잎이 빳빳한,,초보자,안전,"소, 중형",하,"소: 3천원~8천원
중: 1만원~1만5천원",,,,,,,
보스턴 고사리,그림,Nephrolepis exaltata 'Bostoniensis',보스턴 고사리는 역사상 가장 오래된 식물 중 하나에요. 주로 잎이 아래쪽으로 휘어져 있어요. 건조한 환경에서 습도를 높이는데 좋은 식물이에요. 음이온을 발생시켜 실내의 공기를 상쾌하게 만들어 준답니다. 싱그러운 연두색 잎은 플로리스트와 가드너에게 꽃 장식용으로 친숙한 식물이에요.,"평균 주 2회 이상
흙이 촉촉한 상태를 유지하는 것이 좋아요",반양지,70% 이상,16~20℃,13℃ 이상,연두색,잎을 감상하는,,길쭉한,갈라진,잎 끝이 뾰족한,,초보자,안전,소형,하,"소: 3천원~8천원
중: 1만원~1만5천원",,,,,,,
